"Original","New"
"Noraxon MyoMotion-Segments-Upper arm LT-Gyroscope-x (deg/s)","Noraxon MyoMotion-Segments-SC-Gyroscope-x (deg/s)"
"Noraxon MyoMotion-Segments-Upper arm LT-Gyroscope-y (deg/s)","Noraxon MyoMotion-Segments-SC-Gyroscope-y (deg/s)"
"Noraxon MyoMotion-Segments-Upper arm LT-Gyroscope-z (deg/s)","Noraxon MyoMotion-Segments-SC-Gyroscope-z (deg/s)"
"Noraxon MyoMotion-Segments-Upper arm LT-Magnetometer-x (mGauss)","Noraxon MyoMotion-Segments-SC-Magnetometer-x (mGauss)"
"Noraxon MyoMotion-Segments-Upper arm LT-Magnetometer-y (mGauss)","Noraxon MyoMotion-Segments-SC-Magnetometer-y (mGauss)"
"Noraxon MyoMotion-Segments-Upper arm LT-Magnetometer-z (mGauss)","Noraxon MyoMotion-Segments-SC-Magnetometer-z (mGauss)"
"Upper arm course LT (deg)","SC course (deg)"
"Upper arm pitch LT (deg)","SC pitch (deg)"
"Upper arm roll LT (deg)","SC roll (deg)"
"Upper Arm Tilt Fwd LT (deg)","Noraxon MyoMotion-Segments-SC-Tilt Fwd (deg)"
"Upper Arm Tilt Med LT (deg)","Noraxon MyoMotion-Segments-SC-Tilt Med (deg)"
"Upper Arm Rotation Ext LT (deg)","Noraxon MyoMotion-Segments-SC-Rotation Ext (deg)"
"Noraxon MyoMotion-Segments-Forearm LT-Orientation-x","Noraxon MyoMotion-Segments-HIP LT-Orientation-x"
"Noraxon MyoMotion-Segments-Forearm LT-Orientation-y","Noraxon MyoMotion-Segments-HIP LT-Orientation-y"
"Noraxon MyoMotion-Segments-Forearm LT-Orientation-z","Noraxon MyoMotion-Segments-HIP LT-Orientation-z"
"Noraxon MyoMotion-Segments-Forearm LT-Orientation-w","Noraxon MyoMotion-Segments-HIP LT-Orientation-w"
"Forearm Accel Sensor X LT (mG)","HIP Accel Sensor X LT (mG)"
"Forearm Accel Sensor Y LT (mG)","HIP Accel Sensor Y LT (mG)"
"Forearm Accel Sensor Z LT (mG)","HIP Accel Sensor Z LT (mG)"
"Noraxon MyoMotion-Segments-Forearm LT-Acceleration-x (mG)","Noraxon MyoMotion-Segments-HIP LT-Acceleration-x (mG)"
"Noraxon MyoMotion-Segments-Forearm LT-Acceleration-y (mG)","Noraxon MyoMotion-Segments-HIP LT-Acceleration-y (mG)"
"Noraxon MyoMotion-Segments-Forearm LT-Acceleration-z (mG)","Noraxon MyoMotion-Segments-HIP LT-Acceleration-z (mG)"
"Noraxon MyoMotion-Segments-Forearm LT-Gyroscope-x (deg/s)","Noraxon MyoMotion-Segments-HIP LT-Gyroscope-x (deg/s)"
"Noraxon MyoMotion-Segments-Forearm LT-Gyroscope-y (deg/s)","Noraxon MyoMotion-Segments-HIP LT-Gyroscope-y (deg/s)"
"Noraxon MyoMotion-Segments-Forearm LT-Gyroscope-z (deg/s)","Noraxon MyoMotion-Segments-HIP LT-Gyroscope-z (deg/s)"
"Noraxon MyoMotion-Segments-Forearm LT-Magnetometer-x (mGauss)","Noraxon MyoMotion-Segments-HIP LT-Magnetometer-x (mGauss)"
"Noraxon MyoMotion-Segments-Forearm LT-Magnetometer-y (mGauss)","Noraxon MyoMotion-Segments-HIP LT-Magnetometer-y (mGauss)"
"Noraxon MyoMotion-Segments-Forearm LT-Magnetometer-z (mGauss)","Noraxon MyoMotion-Segments-HIP LT-Magnetometer-z (mGauss)"
"Forearm course LT (deg)","HIP course LT (deg)"
"Forearm pitch LT (deg)","HIP pitch LT (deg)"
"Forearm roll LT (deg)","HIP roll LT (deg)"
"Forearm Tilt Fwd LT (deg)","Noraxon MyoMotion-Segments-HIP LT-Tilt Fwd (deg)"
"Forearm Tilt Med LT (deg)","Noraxon MyoMotion-Segments-HIP LT-Tilt Med (deg)"
"Forearm Rotation Ext LT (deg)","Noraxon MyoMotion-Segments-HIP LT-Rotation Ext (deg)"
"Noraxon MyoMotion-Segments-Hand LT-Orientation-x","Noraxon MyoMotion-Segments-Knee LT-Orientation-x"
"Noraxon MyoMotion-Segments-Hand LT-Orientation-y","Noraxon MyoMotion-Segments-Knee LT-Orientation-y"
"Noraxon MyoMotion-Segments-Hand LT-Orientation-z","Noraxon MyoMotion-Segments-Knee LT-Orientation-z"
"Noraxon MyoMotion-Segments-Hand LT-Orientation-w","Noraxon MyoMotion-Segments-Knee LT-Orientation-w"
"Hand Accel Sensor X LT (mG)","Knee Accel Sensor X LT (mG)"
"Hand Accel Sensor Y LT (mG)","Knee Accel Sensor Y LT (mG)"
"Hand Accel Sensor Z LT (mG)","Knee Accel Sensor Z LT (mG)"
"Noraxon MyoMotion-Segments-Hand LT-Acceleration-x (mG)","Noraxon MyoMotion-Segments-Knee LT-Acceleration-x (mG)"
"Noraxon MyoMotion-Segments-Hand LT-Acceleration-y (mG)","Noraxon MyoMotion-Segments-Knee LT-Acceleration-y (mG)"
"Noraxon MyoMotion-Segments-Hand LT-Acceleration-z (mG)","Noraxon MyoMotion-Segments-Knee LT-Acceleration-z (mG)"
"Noraxon MyoMotion-Segments-Hand LT-Gyroscope-x (deg/s)","Noraxon MyoMotion-Segments-Knee LT-Gyroscope-x (deg/s)"
"Noraxon MyoMotion-Segments-Hand LT-Gyroscope-y (deg/s)","Noraxon MyoMotion-Segments-Knee LT-Gyroscope-y (deg/s)"
"Noraxon MyoMotion-Segments-Hand LT-Gyroscope-z (deg/s)","Noraxon MyoMotion-Segments-Knee LT-Gyroscope-z (deg/s)"
"Noraxon MyoMotion-Segments-Hand LT-Magnetometer-x (mGauss)","Noraxon MyoMotion-Segments-Knee LT-Magnetometer-x (mGauss)"
"Noraxon MyoMotion-Segments-Hand LT-Magnetometer-y (mGauss)","Noraxon MyoMotion-Segments-Knee LT-Magnetometer-y (mGauss)"
"Noraxon MyoMotion-Segments-Hand LT-Magnetometer-z (mGauss)","Noraxon MyoMotion-Segments-Knee LT-Magnetometer-z (mGauss)"
"Hand course LT (deg)","Knee course LT (deg)"
"Hand pitch LT (deg)","Knee pitch LT (deg)"
"Hand roll LT (deg)","Knee roll LT (deg)"
"Hand Tilt Fwd LT (deg)","Noraxon MyoMotion-Segments-Knee LT-Tilt Fwd (deg)"
"Hand Tilt Med LT (deg)","Noraxon MyoMotion-Segments-Knee LT-Tilt Med (deg)"
"Hand Rotation Ext LT (deg)","Noraxon MyoMotion-Segments-Knee LT-Rotation Ext (deg)"
"Noraxon MyoMotion-Segments-Thigh LT-Orientation-x","Noraxon MyoMotion-Segments-Shoulder LT-Orientation-x"
"Noraxon MyoMotion-Segments-Thigh LT-Orientation-y","Noraxon MyoMotion-Segments-Shoulder LT-Orientation-y"
"Noraxon MyoMotion-Segments-Thigh LT-Orientation-z","Noraxon MyoMotion-Segments-Shoulder LT-Orientation-z"
"Noraxon MyoMotion-Segments-Thigh LT-Orientation-w","Noraxon MyoMotion-Segments-Shoulder LT-Orientation-w"
"Thigh Accel Sensor X LT (mG)","Shoulder Accel Sensor X LT (mG)"
"Thigh Accel Sensor Y LT (mG)","Shoulder Accel Sensor Y LT (mG)"
"Thigh Accel Sensor Z LT (mG)","Shoulder Accel Sensor Z LT (mG)"
"Noraxon MyoMotion-Segments-Thigh LT-Acceleration-x (mG)","Noraxon MyoMotion-Segments-Shoulder LT-Acceleration-x (mG)"
"Noraxon MyoMotion-Segments-Thigh LT-Acceleration-y (mG)","Noraxon MyoMotion-Segments-Shoulder LT-Acceleration-y (mG)"
"Noraxon MyoMotion-Segments-Thigh LT-Acceleration-z (mG)","Noraxon MyoMotion-Segments-Shoulder LT-Acceleration-z (mG)"
"Noraxon MyoMotion-Segments-Thigh LT-Gyroscope-x (deg/s)","Noraxon MyoMotion-Segments-Shoulder LT-Gyroscope-x (deg/s)"
"Noraxon MyoMotion-Segments-Thigh LT-Gyroscope-y (deg/s)","Noraxon MyoMotion-Segments-Shoulder LT-Gyroscope-y (deg/s)"
"Noraxon MyoMotion-Segments-Thigh LT-Gyroscope-z (deg/s)","Noraxon MyoMotion-Segments-Shoulder LT-Gyroscope-z (deg/s)"
"Noraxon MyoMotion-Segments-Thigh LT-Magnetometer-x (mGauss)","Noraxon MyoMotion-Segments-Shoulder LT-Magnetometer-x (mGauss)"
"Noraxon MyoMotion-Segments-Thigh LT-Magnetometer-y (mGauss)","Noraxon MyoMotion-Segments-Shoulder LT-Magnetometer-y (mGauss)"
"Noraxon MyoMotion-Segments-Thigh LT-Magnetometer-z (mGauss)","Noraxon MyoMotion-Segments-Shoulder LT-Magnetometer-z (mGauss)"
"Thigh course LT (deg)","Shoulder course LT (deg)"
"Thigh pitch LT (deg)","Shoulder pitch LT (deg)"
"Thigh roll LT (deg)","Shoulder roll LT (deg)"
"Thigh Tilt Fwd LT (deg)","Noraxon MyoMotion-Segments-Shoulder LT-Tilt Fwd (deg)"
"Thigh Tilt Med LT (deg)","Noraxon MyoMotion-Segments-Shoulder LT-Tilt Med (deg)"
"Thigh Rotation Ext LT (deg)","Noraxon MyoMotion-Segments-Shoulder LT-Rotation Ext (deg)"
